sample_id,parent_sample_id,label,language_type,source_dataset,generator,split,augmentation_condition,duration,codec,sha256,group_id,path
aug_cv_hi_00000__multi_codec,cv_hi_00000,real,Hindi,CommonVoice_Hindi_26.0,,train,multi_codec,8.136,WAV/PCM_16,3dbc41a2f975ea013dab04255aaccda89f9977044dc4dd4d6542e414a2b2d429,4c1361a4ea86b6b9,data/augmented/v1/aug_cv_hi_00000__multi_codec.wav
aug_cv_hi_00001__mp3_64,cv_hi_00001,real,Hindi,CommonVoice_Hindi_26.0,,train,mp3_64,5.796,WAV/PCM_16,84f3d7c2d0e69e944ca5f9018034408453c19246ddf22f9c6204419e8cdc8bd9,1e853ef77bbd2153,data/augmented/v1/aug_cv_hi_00001__mp3_64.wav
aug_cv_hi_00003__mild_clipping,cv_hi_00003,real,Hindi,CommonVoice_Hindi_26.0,,train,mild_clipping,3.636,WAV/PCM_16,5f20c9bb52fa3dfdf22fcb7213f2bc49669500b9e693e1f5826e1220f513ba5b,34c0eb446b5d2007,data/augmented/v1/aug_cv_hi_00003__mild_clipping.wav
aug_cv_hi_00004__opus_24,cv_hi_00004,real,Hindi,CommonVoice_Hindi_26.0,,train,opus_24,2.808,WAV/PCM_16,1d206d2fec19e8bfe1ddad5857a1978371751a4811f8109a238558dfc5280420,a184bc485eb145fd,data/augmented/v1/aug_cv_hi_00004__opus_24.wav
aug_cv_hi_00005__multi_codec,cv_hi_00005,real,Hindi,CommonVoice_Hindi_26.0,,train,multi_codec,3.492,WAV/PCM_16,4d4a4aff0e06383b3fe5d53132e05bbdfcfb20141faf0bd9fd0abd4506de5070,21b4d7573780de15,data/augmented/v1/aug_cv_hi_00005__multi_codec.wav
aug_cv_hi_00006__mp3_32,cv_hi_00006,real,Hindi,CommonVoice_Hindi_26.0,,train,mp3_32,8.676,WAV/PCM_16,380c67860c450d6faaf2d298377058619cd78c41c489850a5db1301508d7b3e6,a0f323962ee08fcc,data/augmented/v1/aug_cv_hi_00006__mp3_32.wav
aug_cv_hi_00007__mild_clipping,cv_hi_00007,real,Hindi,CommonVoice_Hindi_26.0,,train,mild_clipping,5.58,WAV/PCM_16,688aeb552967ea0107fc74e60beb66d51b618a6dcd47053fece944fe08eb618b,871e4a9d00ba4ca4,data/augmented/v1/aug_cv_hi_00007__mild_clipping.wav
aug_cv_hi_00008__opus_12,cv_hi_00008,real,Hindi,CommonVoice_Hindi_26.0,,train,opus_12,4.32,WAV/PCM_16,dd103aaf82f76b7e5d88ee6790333c9fb7b102258b1eaabe33fc53e07f1c288c,c7ccfe7dbc7d9777,data/augmented/v1/aug_cv_hi_00008__opus_12.wav
aug_cv_hi_00010__telephone,cv_hi_00010,real,Hindi,CommonVoice_Hindi_26.0,,train,telephone,6.876,WAV/PCM_16,a735c90067330aae91668412ad9e8a9ad12c6491d0090a2079d43231d4ba557e,f57bd2c0b5bd46c4,data/augmented/v1/aug_cv_hi_00010__telephone.wav
aug_cv_hi_00011__mild_clipping,cv_hi_00011,real,Hindi,CommonVoice_Hindi_26.0,,train,mild_clipping,6.768,WAV/PCM_16,539cae7d5cdb53f0ff7d1a12c3c7a5f31407443f72c74fa869aabe0d0c7d5f7d,01f2023af250425d,data/augmented/v1/aug_cv_hi_00011__mild_clipping.wav
