sample_id,label,language_type,source_dataset,generator,split,duration,codec,sha256,group_id,path
cv_hi_00000,real,Hindi,CommonVoice_Hindi_26.0,,train,8.136,WAV/PCM_16,b8dc94cba0b879140cc8a99beeb5f240b6d4b6028dad8c67e8345d478d941805,4c1361a4ea86b6b9,data/processed/v1_16k/cv_hi_00000.wav
cv_hi_00001,real,Hindi,CommonVoice_Hindi_26.0,,train,5.796,WAV/PCM_16,f734911ac624535bc5afdff52d9268aa445b1408ce0644e016a634f9ce03aff1,1e853ef77bbd2153,data/processed/v1_16k/cv_hi_00001.wav
cv_hi_00002,real,Hindi,CommonVoice_Hindi_26.0,,test,5.796,WAV/PCM_16,e1fd2439d3cdf5cb5d10f702c72e7edfccf0bbdc5a976bcfaaf8f16d2885443e,5f1df6e5e3c19d74,data/processed/v1_16k/cv_hi_00002.wav
cv_hi_00003,real,Hindi,CommonVoice_Hindi_26.0,,train,3.636,WAV/PCM_16,049c24d81e850ef605cc349e98e397c11795ff9e8ce34460b6a66e9e4496613a,34c0eb446b5d2007,data/processed/v1_16k/cv_hi_00003.wav
cv_hi_00004,real,Hindi,CommonVoice_Hindi_26.0,,train,2.808,WAV/PCM_16,2b9ea8ae53c5c60af7e2ec9df1bd5f5ac3cee013cac209f89aec877df393cef1,a184bc485eb145fd,data/processed/v1_16k/cv_hi_00004.wav
cv_hi_00005,real,Hindi,CommonVoice_Hindi_26.0,,train,3.492,WAV/PCM_16,25e326577b966b1d97d875b76ee55a58cbc987300b8c03674e5529c5a6e4e400,21b4d7573780de15,data/processed/v1_16k/cv_hi_00005.wav
cv_hi_00006,real,Hindi,CommonVoice_Hindi_26.0,,train,8.676,WAV/PCM_16,445fb640ffa1f4747c0b96b1a3ac6ebf4532290c8ba12af37e10a5f774cf527d,a0f323962ee08fcc,data/processed/v1_16k/cv_hi_00006.wav
cv_hi_00007,real,Hindi,CommonVoice_Hindi_26.0,,train,5.58,WAV/PCM_16,24db62bb4fdf663630db1752a22dc608f37193b90be546e0fafc500c3563b7de,871e4a9d00ba4ca4,data/processed/v1_16k/cv_hi_00007.wav
cv_hi_00008,real,Hindi,CommonVoice_Hindi_26.0,,train,4.32,WAV/PCM_16,09175c343bec92da9e7967d9dd8beba91734f2d48134811898e3029104a508ed,c7ccfe7dbc7d9777,data/processed/v1_16k/cv_hi_00008.wav
cv_hi_00009,real,Hindi,CommonVoice_Hindi_26.0,,validation,5.508,WAV/PCM_16,eb6bc6e733207fe431599f2a6f5815b8b279840fac91e51f6310598480e3c092,d892d98e2d8874ea,data/processed/v1_16k/cv_hi_00009.wav
cv_hi_00010,real,Hindi,CommonVoice_Hindi_26.0,,train,6.876,WAV/PCM_16,906f1f8c114e121baf4a85c6403d5517685b4404fc25a09ec9ca2bdaa99e57f0,f57bd2c0b5bd46c4,data/processed/v1_16k/cv_hi_00010.wav
cv_hi_00011,real,Hindi,CommonVoice_Hindi_26.0,,train,6.768,WAV/PCM_16,c749d2e37ded1029a6b5f87ee42b3981eb6ec89abbd32d84b0dca15dac82cdb7,01f2023af250425d,data/processed/v1_16k/cv_hi_00011.wav
cv_hi_00012,real,Hindi,CommonVoice_Hindi_26.0,,train,2.736,WAV/PCM_16,936f6f7caf06db93cc09c29f3b8d8c322700a64855b601b3ec4c4169784131d8,fea83a62757bccdb,data/processed/v1_16k/cv_hi_00012.wav
cv_hi_00013,real,Hindi,CommonVoice_Hindi_26.0,,test,5.58,WAV/PCM_16,e3396f4c9d40d64fc72c9071be059a225091a8c7c924afe79386c8b0761b3d34,55d76ac691623b23,data/processed/v1_16k/cv_hi_00013.wav
cv_hi_00014,real,Hindi,CommonVoice_Hindi_26.0,,train,6.804,WAV/PCM_16,f16ee94609ca19a35bd03cf9dd9f843ec431e47794f05f9b1b3323f89939e634,2e409cc095588953,data/processed/v1_16k/cv_hi_00014.wav
cv_hi_00015,real,Hindi,CommonVoice_Hindi_26.0,,train,5.796,WAV/PCM_16,4e52a06c6d8190d6dc33559dbefad333e9a4ce2ed1101426443da6277c5805be,59c160efb64065c6,data/processed/v1_16k/cv_hi_00015.wav
cv_hi_00016,real,Hindi,CommonVoice_Hindi_26.0,,train,7.056,WAV/PCM_16,1460b42a186805cd0abb05f3aca2030215a151a6d715232f625dbd96dcb5c562,a184bc485eb145fd,data/processed/v1_16k/cv_hi_00016.wav
cv_hi_00017,real,Hindi,CommonVoice_Hindi_26.0,,train,6.984,WAV/PCM_16,b45ab28ff99347d065edfe0ccff3d9dba4114ad3893c06ec6d147d1b73a1ceca,21b4d7573780de15,data/processed/v1_16k/cv_hi_00017.wav
cv_hi_00018,real,Hindi,CommonVoice_Hindi_26.0,,train,6.948,WAV/PCM_16,cd288be7d2f1cd9ecf5cc3d8f39d8e0666c590a142e073490708748aec6de494,0d250fc8abed9b3c,data/processed/v1_16k/cv_hi_00018.wav
cv_hi_00019,real,Hindi,CommonVoice_Hindi_26.0,,train,4.896,WAV/PCM_16,35515ac144a132da901ccb5c35e0ae8be842b7270bd11a29334fdee9593049c3,29e5a5abb9fc8494,data/processed/v1_16k/cv_hi_00019.wav
cv_hi_00020,real,Hindi,CommonVoice_Hindi_26.0,,train,4.296,WAV/PCM_16,f73cb34722db20d2f3754aa379646460d5435adf161ffceff9c642c5ecd96812,09b41ec229ec35d1,data/processed/v1_16k/cv_hi_00020.wav
cv_hi_00021,real,Hindi,CommonVoice_Hindi_26.0,,train,7.308,WAV/PCM_16,41ed70346705055bece6e2a9cf907744370e954527a6ccde13ff4fbf938278c3,58d646810ccc9fe1,data/processed/v1_16k/cv_hi_00021.wav
cv_hi_00022,real,Hindi,CommonVoice_Hindi_26.0,,validation,3.06,WAV/PCM_16,3b11078f8c41343be2d8de0c4310111fb19f622de0f606104ec758fc6699de5e,d516dce6726a2022,data/processed/v1_16k/cv_hi_00022.wav
cv_hi_00023,real,Hindi,CommonVoice_Hindi_26.0,,test,6.876,WAV/PCM_16,79b67ae380fe8f5fde0b05f01fe73312cea1e08e60c6af81b2b604bdb6ce238b,ec179470f73990d8,data/processed/v1_16k/cv_hi_00023.wav
cv_hi_00024,real,Hindi,CommonVoice_Hindi_26.0,,train,3.42,WAV/PCM_16,69a340fbf663320b272ec928b44d452a0580ea81c47837fd1f7529fcc78b5bbb,e274594b4f15563e,data/processed/v1_16k/cv_hi_00024.wav
cv_hi_00025,real,Hindi,CommonVoice_Hindi_26.0,,train,3.384,WAV/PCM_16,7ac7826c2169768e9c3aa5cc22e76dd3cc7103cd44a54a00c29b119631f0135d,94ebf39e3e252178,data/processed/v1_16k/cv_hi_00025.wav
cv_hi_00026,real,Hindi,CommonVoice_Hindi_26.0,,train,5.832,WAV/PCM_16,cba69b811bea39d18d3bc52ef6b8f67d848aa3ac70b944584a7e95d2f617d9c2,d5f7c5f75f548d3b,data/processed/v1_16k/cv_hi_00026.wav
cv_hi_00027,real,Hindi,CommonVoice_Hindi_26.0,,train,4.608,WAV/PCM_16,33ad1ad76a9e90f035da5b865a3a9758b8bccbd7bbd4cb1da09636cf72d33f16,871e4a9d00ba4ca4,data/processed/v1_16k/cv_hi_00027.wav
cv_hi_00028,real,Hindi,CommonVoice_Hindi_26.0,,test,7.452,WAV/PCM_16,55dc997e7af304b85c1b81b2436c8dc1418c5f7f1d247462960989efe677b88b,fb0a9b3e0dd5546b,data/processed/v1_16k/cv_hi_00028.wav
cv_hi_00029,real,Hindi,CommonVoice_Hindi_26.0,,train,5.94,WAV/PCM_16,13480a5eb784d22ddc2be9d3a711e73ff8df82981f904abb6175898dc93f289d,f3867c69efbfa3be,data/processed/v1_16k/cv_hi_00029.wav
cv_hi_00030,real,Hindi,CommonVoice_Hindi_26.0,,test,6.876,WAV/PCM_16,ecbd56ee335c8609c9e701cc362a6ad401283f9bab53f1fb3562c1a1854a6363,0ff4e6d67f0b7d02,data/processed/v1_16k/cv_hi_00030.wav
cv_hi_00031,real,Hindi,CommonVoice_Hindi_26.0,,train,4.464,WAV/PCM_16,e935a4514662b00de84449a6355dbfe5fb9fd3a10459f3b959f628dbb1fa1d6b,6fd698af03f1ca06,data/processed/v1_16k/cv_hi_00031.wav
cv_hi_00032,real,Hindi,CommonVoice_Hindi_26.0,,train,4.824,WAV/PCM_16,950e6a632204b41d3c46a4914d94c12c359971dd6dcb25e0a86a353c43b5812c,fccd302e523aa79a,data/processed/v1_16k/cv_hi_00032.wav
cv_hi_00033,real,Hindi,CommonVoice_Hindi_26.0,,train,6.66,WAV/PCM_16,a5b69fd2bdfd1013e96a1f0c614ccbc7f52a95aeeddb5f307b465c12ef4f2f1a,f3867c69efbfa3be,data/processed/v1_16k/cv_hi_00033.wav
cv_hi_00034,real,Hindi,CommonVoice_Hindi_26.0,,test,4.5,WAV/PCM_16,7d22db2a2407a5714eaeffd41c3478128df4a2a82a5a9c3cc4fb6748d978fa5c,6baa869a4ce9b577,data/processed/v1_16k/cv_hi_00034.wav
cv_hi_00035,real,Hindi,CommonVoice_Hindi_26.0,,validation,5.256,WAV/PCM_16,32c0999591610758964f1d6aa98f442332d8de6de0cb54b612940020422d691b,1656b88882e39c64,data/processed/v1_16k/cv_hi_00035.wav
cv_hi_00036,real,Hindi,CommonVoice_Hindi_26.0,,train,4.5,WAV/PCM_16,799c1e0de75a91e02359469cc787fdd3b7c6556cd982dde17b81db8e30f880ca,f8771dfd25ac058e,data/processed/v1_16k/cv_hi_00036.wav
cv_hi_00037,real,Hindi,CommonVoice_Hindi_26.0,,train,4.176,WAV/PCM_16,3aa354cc313d93f8b88630437de9f4e70ab7e020c847bdf2f62d4a56c8917f27,cbafbf3451b99ff0,data/processed/v1_16k/cv_hi_00037.wav
cv_hi_00038,real,Hindi,CommonVoice_Hindi_26.0,,train,5.508,WAV/PCM_16,34da9c14efea004d041a29c71c195642c95c152f6e388d97ede8b8ee5a377809,45d8cac7fddcae47,data/processed/v1_16k/cv_hi_00038.wav
