sample_id,parent_sample_id,label,language_type,source_dataset,generator,split,augmentation_condition,duration,codec,sha256,group_id,path
rob_cv_hi_00030__mp3,cv_hi_00030,real,Hindi,CommonVoice_Hindi_26.0,,test,mp3,6.876,WAV/PCM_16,e5b28948dda320bba65a23810412649466bf7d385aab3a8af9d081a54680e99c,0ff4e6d67f0b7d02,data/evaluation/robustness_v1/rob_cv_hi_00030__mp3.wav
rob_cv_hi_00030__opus,cv_hi_00030,real,Hindi,CommonVoice_Hindi_26.0,,test,opus,6.876,WAV/PCM_16,e61061cc4109b3f1f867de3f185ca74c609ad92cc76c28745a4d51e059e1a913,0ff4e6d67f0b7d02,data/evaluation/robustness_v1/rob_cv_hi_00030__opus.wav
rob_cv_hi_00030__telephone,cv_hi_00030,real,Hindi,CommonVoice_Hindi_26.0,,test,telephone,6.876,WAV/PCM_16,c34eb021ae09c1d7c5d0673787fb100ab85e2ad4ea389cb8f0de2fb4195ece02,0ff4e6d67f0b7d02,data/evaluation/robustness_v1/rob_cv_hi_00030__telephone.wav
rob_cv_hi_00030__lowpass,cv_hi_00030,real,Hindi,CommonVoice_Hindi_26.0,,test,lowpass,6.876,WAV/PCM_16,834d9435101ca8792290b552d27150c2058fa5ac96c8cb7b982741881a8c8709,0ff4e6d67f0b7d02,data/evaluation/robustness_v1/rob_cv_hi_00030__lowpass.wav
rob_cv_hi_00030__multi_codec,cv_hi_00030,real,Hindi,CommonVoice_Hindi_26.0,,test,multi_codec,6.876,WAV/PCM_16,723b91ce99c90ce868bc03e784151bd69858b02133e758483635f22e15d288cd,0ff4e6d67f0b7d02,data/evaluation/robustness_v1/rob_cv_hi_00030__multi_codec.wav
rob_cv_hi_00102__mp3,cv_hi_00102,real,Hindi,CommonVoice_Hindi_26.0,,test,mp3,5.796,WAV/PCM_16,e1fe58cf953921f00a8fa8c72861d8d3b5b561c43311deb0159f621ff662a6d4,ed385c5b04af05d9,data/evaluation/robustness_v1/rob_cv_hi_00102__mp3.wav
rob_cv_hi_00102__opus,cv_hi_00102,real,Hindi,CommonVoice_Hindi_26.0,,test,opus,5.796,WAV/PCM_16,5805aad883d47c368b743031d55bb5312e7c7186b46abdccb20818af466ae30c,ed385c5b04af05d9,data/evaluation/robustness_v1/rob_cv_hi_00102__opus.wav
rob_cv_hi_00102__telephone,cv_hi_00102,real,Hindi,CommonVoice_Hindi_26.0,,test,telephone,5.796,WAV/PCM_16,b54cb7450fedeaaca0e6b3d12451ea0e80366e5d8903d69a23f9ad36b2dee0b0,ed385c5b04af05d9,data/evaluation/robustness_v1/rob_cv_hi_00102__telephone.wav
rob_cv_hi_00102__lowpass,cv_hi_00102,real,Hindi,CommonVoice_Hindi_26.0,,test,lowpass,5.796,WAV/PCM_16,dd8e2027be2b95c4452383cc79508325ecbf28b01869c8bd113c7362266cdcb9,ed385c5b04af05d9,data/evaluation/robustness_v1/rob_cv_hi_00102__lowpass.wav
rob_cv_hi_00102__multi_codec,cv_hi_00102,real,Hindi,CommonVoice_Hindi_26.0,,test,multi_codec,5.796,WAV/PCM_16,09a7450c86622c2c5dc9ddbb99eed108688daf33df0d20d09def2b75c1e7a93f,ed385c5b04af05d9,data/evaluation/robustness_v1/rob_cv_hi_00102__multi_codec.wav
rob_cv_hi_00139__mp3,cv_hi_00139,real,Hindi,CommonVoice_Hindi_26.0,,test,mp3,7.416,WAV/PCM_16,a23f36105b35f8cb5f2b15f3f25da5dc6513ef5ebefa7a996e543e8bcbb64e66,83f9bc48273bfa83,data/evaluation/robustness_v1/rob_cv_hi_00139__mp3.wav
rob_cv_hi_00139__opus,cv_hi_00139,real,Hindi,CommonVoice_Hindi_26.0,,test,opus,7.416,WAV/PCM_16,8f58085f4af66557038e98b367cbe996a36c3281e72a7d8dbdc2039f0532d341,83f9bc48273bfa83,data/evaluation/robustness_v1/rob_cv_hi_00139__opus.wav
rob_cv_hi_00139__telephone,cv_hi_00139,real,Hindi,CommonVoice_Hindi_26.0,,test,telephone,7.416,WAV/PCM_16,203f8d3f9799fe69710305ec08b8594cb337206e7c3cb352e75adaf70cfd00e3,83f9bc48273bfa83,data/evaluation/robustness_v1/rob_cv_hi_00139__telephone.wav
rob_cv_hi_00139__lowpass,cv_hi_00139,real,Hindi,CommonVoice_Hindi_26.0,,test,lowpass,7.416,WAV/PCM_16,06e7f473f8a0f36379f2572b1a1c7756cce058b22c7ca6da0fe936c7ac028a5b,83f9bc48273bfa83,data/evaluation/robustness_v1/rob_cv_hi_00139__lowpass.wav
rob_cv_hi_00139__multi_codec,cv_hi_00139,real,Hindi,CommonVoice_Hindi_26.0,,test,multi_codec,7.416,WAV/PCM_16,db8acb370e9728da7039ae1222aad2d1e6c458a107f5210f6fbf4be2e05597eb,83f9bc48273bfa83,data/evaluation/robustness_v1/rob_cv_hi_00139__multi_codec.wav
rob_cv_hi_00155__mp3,cv_hi_00155,real,Hindi,CommonVoice_Hindi_26.0,,test,mp3,4.896,WAV/PCM_16,00c14cf3a869a1072e1269c7700ac3f1502a9ee5a8341ac01d5ba050a14dd33f,0ff4e6d67f0b7d02,data/evaluation/robustness_v1/rob_cv_hi_00155__mp3.wav
rob_cv_hi_00155__opus,cv_hi_00155,real,Hindi,CommonVoice_Hindi_26.0,,test,opus,4.896,WAV/PCM_16,6a549464632acbfc57af137e62b842d74176daf508f2a7a90b0c9983471d0d11,0ff4e6d67f0b7d02,data/evaluation/robustness_v1/rob_cv_hi_00155__opus.wav
rob_cv_hi_00155__telephone,cv_hi_00155,real,Hindi,CommonVoice_Hindi_26.0,,test,telephone,4.896,WAV/PCM_16,96716ae7899b19e48108bd5724703eb2ecda0faf57b52e274d9cc13b58e9ab60,0ff4e6d67f0b7d02,data/evaluation/robustness_v1/rob_cv_hi_00155__telephone.wav
rob_cv_hi_00155__lowpass,cv_hi_00155,real,Hindi,CommonVoice_Hindi_26.0,,test,lowpass,4.896,WAV/PCM_16,dc21a414cc7957507f234ab4b76e534a3fd589f4681fb7cd3830e5db04ac4ace,0ff4e6d67f0b7d02,data/evaluation/robustness_v1/rob_cv_hi_00155__lowpass.wav
rob_cv_hi_00155__multi_codec,cv_hi_00155,real,Hindi,CommonVoice_Hindi_26.0,,test,multi_codec,4.896,WAV/PCM_16,2c7fceef22607dc3fc9db0ff0f95e0b49e08f0bc8369ed2a688c421d2a45ca8c,0ff4e6d67f0b7d02,data/evaluation/robustness_v1/rob_cv_hi_00155__multi_codec.wav
rob_cv_hi_00162__mp3,cv_hi_00162,real,Hindi,CommonVoice_Hindi_26.0,,test,mp3,3.936,WAV/PCM_16,cfc4c79da009ab70aa09c5a49e899ec09aa6ac5bb052c12f582a063f87177f7f,6f060390556e48b8,data/evaluation/robustness_v1/rob_cv_hi_00162__mp3.wav
rob_cv_hi_00162__opus,cv_hi_00162,real,Hindi,CommonVoice_Hindi_26.0,,test,opus,3.936,WAV/PCM_16,f174c39b8a501667f2b4c1a1b22d7c287bcad75abe794fbe8d7d8d551f7b3cd1,6f060390556e48b8,data/evaluation/robustness_v1/rob_cv_hi_00162__opus.wav
rob_cv_hi_00162__telephone,cv_hi_00162,real,Hindi,CommonVoice_Hindi_26.0,,test,telephone,3.936,WAV/PCM_16,7a4afc41b4fb9f804853972565bf5bf1026047974726868fdd53c251e331b848,6f060390556e48b8,data/evaluation/robustness_v1/rob_cv_hi_00162__telephone.wav
rob_cv_hi_00162__lowpass,cv_hi_00162,real,Hindi,CommonVoice_Hindi_26.0,,test,lowpass,3.936,WAV/PCM_16,006b658f7bef1f413a2ebdddaba098b5f858072e0b511adae9e47946ae41f24a,6f060390556e48b8,data/evaluation/robustness_v1/rob_cv_hi_00162__lowpass.wav
rob_cv_hi_00162__multi_codec,cv_hi_00162,real,Hindi,CommonVoice_Hindi_26.0,,test,multi_codec,3.936,WAV/PCM_16,480539fc5634d808e17164f13705a23a9711e00fd33af41713c1f0050a044b54,6f060390556e48b8,data/evaluation/robustness_v1/rob_cv_hi_00162__multi_codec.wav
rob_cv_hi_00216__mp3,cv_hi_00216,real,Hindi,CommonVoice_Hindi_26.0,,test,mp3,3.312,WAV/PCM_16,8bb6bef6525f1ce268e3fa55fc16d2de85bbfa955a1d5fece9edb88c461ac6f4,7c2dbc9e95b43169,data/evaluation/robustness_v1/rob_cv_hi_00216__mp3.wav
rob_cv_hi_00216__opus,cv_hi_00216,real,Hindi,CommonVoice_Hindi_26.0,,test,opus,3.312,WAV/PCM_16,7c91787ba8fd12f3d6b7ab6d98c1791d15deb02a4e8f509158d3e431d452eb35,7c2dbc9e95b43169,data/evaluation/robustness_v1/rob_cv_hi_00216__opus.wav
rob_cv_hi_00216__telephone,cv_hi_00216,real,Hindi,CommonVoice_Hindi_26.0,,test,telephone,3.312,WAV/PCM_16,124c25cd19f841e422828b10fdc7a81cfeb812dd64775146f046368524089fb1,7c2dbc9e95b43169,data/evaluation/robustness_v1/rob_cv_hi_00216__telephone.wav
rob_cv_hi_00216__lowpass,cv_hi_00216,real,Hindi,CommonVoice_Hindi_26.0,,test,lowpass,3.312,WAV/PCM_16,73b726607fc36e4e543c9bd6590a429a1d32b3271b3a66413febd915569eba6c,7c2dbc9e95b43169,data/evaluation/robustness_v1/rob_cv_hi_00216__lowpass.wav
rob_cv_hi_00216__multi_codec,cv_hi_00216,real,Hindi,CommonVoice_Hindi_26.0,,test,multi_codec,3.312,WAV/PCM_16,08fc70e4ec052f5de2d53992f8ca093388abb9eddde8f25818873e9ee221f6e9,7c2dbc9e95b43169,data/evaluation/robustness_v1/rob_cv_hi_00216__multi_codec.wav
rob_cv_hi_00328__mp3,cv_hi_00328,real,Hindi,CommonVoice_Hindi_26.0,,test,mp3,7.416,WAV/PCM_16,0d9e8fe677bd23c7fc8823dc67c1bd8be1a4ba7d5302c4c63fbe38fbac025a5c,1c212dd884fa644d,data/evaluation/robustness_v1/rob_cv_hi_00328__mp3.wav
rob_cv_hi_00328__opus,cv_hi_00328,real,Hindi,CommonVoice_Hindi_26.0,,test,opus,7.416,WAV/PCM_16,49aca19e257e7c5157a18ee1581ff509ae1444d7fd9b649c1018a1d19ced85c8,1c212dd884fa644d,data/evaluation/robustness_v1/rob_cv_hi_00328__opus.wav
rob_cv_hi_00328__telephone,cv_hi_00328,real,Hindi,CommonVoice_Hindi_26.0,,test,telephone,7.416,WAV/PCM_16,a82184a70a3ef4f4749553909f003672e32873c14e72acf2bcd1b8388a9fb0a7,1c212dd884fa644d,data/evaluation/robustness_v1/rob_cv_hi_00328__telephone.wav
rob_cv_hi_00328__lowpass,cv_hi_00328,real,Hindi,CommonVoice_Hindi_26.0,,test,lowpass,7.416,WAV/PCM_16,2f03060d9cd89069b0c2a92eb4ec68a1539ea0ba2765acb99bc47f954517afc9,1c212dd884fa644d,data/evaluation/robustness_v1/rob_cv_hi_00328__lowpass.wav
rob_cv_hi_00328__multi_codec,cv_hi_00328,real,Hindi,CommonVoice_Hindi_26.0,,test,multi_codec,7.416,WAV/PCM_16,a2dc62033bfed65ec3458989153e519bfe88267d304a094c2f961b01a03ec311,1c212dd884fa644d,data/evaluation/robustness_v1/rob_cv_hi_00328__multi_codec.wav
