sample_id,label,language_type,source_dataset,generator,split,spoof_type,duration,codec,sha256,group_id,path
ss_hi_fake_00000,fake,Hindi,SEA-Spoof,hindi_common_edge_tts,evaluation,offline,2.688,flac,a0a0826c2a69cf083345f57e2f9f22f322b0cddf9ff1848d7fd03a8c9a8c5cd4,e245f5d183ad158b,data/evaluation/seaspoof_hi/ss_hi_fake_00000.flac
ss_hi_fake_00001,fake,Hindi,SEA-Spoof,hindi_common_fastspeech,evaluation,offline,4.9691,flac,e0165d48f45f86d20de9ec0cf842cb7241153ece35676e8b61196e7f5a95c4a3,0f748a2269fa6acf,data/evaluation/seaspoof_hi/ss_hi_fake_00001.flac
ss_hi_fake_00002,fake,Hindi,SEA-Spoof,hindi_common_indic-tts,evaluation,offline,5.1324,flac,3a5f854877f6ad460af1aef3b05a3fc2d02728eb70d1e8ba09b894a0c2aa9d55,b75c442eadcac39a,data/evaluation/seaspoof_hi/ss_hi_fake_00002.flac
ss_hi_fake_00003,fake,Hindi,SEA-Spoof,hindi_common_vits_mms,evaluation,offline,3.984,flac,91c2d397c2b5ed676a1044177b84ce61d203abdbada1381d82057061bd6c6b61,2155e7082edb71d6,data/evaluation/seaspoof_hi/ss_hi_fake_00003.flac
ss_hi_fake_00004,fake,Hindi,SEA-Spoof,hindi_common_xttsv2,evaluation,offline,4.822,flac,a7f2224fd1d6824bb1440d8a436cf5fce10a5277bd5fd9285c8d35e523e607f7,99ec50df6396c7c7,data/evaluation/seaspoof_hi/ss_hi_fake_00004.flac
ss_hi_fake_00005,fake,Hindi,SEA-Spoof,hindi_indic_edge_tts,evaluation,offline,8.184,flac,bedfbc7692a6fc74f1f4351ccc362d77d516172784e621d10eda17f273672983,306b4959205e043a,data/evaluation/seaspoof_hi/ss_hi_fake_00005.flac
ss_hi_fake_00006,fake,Hindi,SEA-Spoof,hindi_indic_fastspeech,evaluation,offline,7.4653,flac,2df513e5fc0a54b4b2e283731f0fddae43dca0cb1204c9a102bce4f7ae8f6da3,bd1e59fe7cf5ae6c,data/evaluation/seaspoof_hi/ss_hi_fake_00006.flac
ss_hi_fake_00007,fake,Hindi,SEA-Spoof,hindi_indic_indic-tts,evaluation,offline,9.8344,flac,c57b5c4861723dcba544e8778560004d261e795437cc84764c70f5be641a87ff,2655abaa008546df,data/evaluation/seaspoof_hi/ss_hi_fake_00007.flac
ss_hi_fake_00008,fake,Hindi,SEA-Spoof,hindi_indic_tts_vits-mms,evaluation,offline,5.76,flac,cc54977ae7bf8b7132f4bc949f78bb684e9dd960e1bf23817cf4059f902b031d,8a2d841a5757b7f3,data/evaluation/seaspoof_hi/ss_hi_fake_00008.flac
ss_hi_fake_00009,fake,Hindi,SEA-Spoof,hindi_indic_tts_xtts-v2,evaluation,offline,4.4487,flac,282125fb007d44b0ea5f018a4d36c123f4b3c9df0235316d01d1dd66d4099a02,3caca2cb3675cf98,data/evaluation/seaspoof_hi/ss_hi_fake_00009.flac
ss_hi_fake_00010,fake,Hindi,SEA-Spoof,elevenlabs,evaluation,online,1.9853,flac,8a96c47c28b980faa1c04e555f0801c5cde3f4ebba7986b2e8c9e0e4387ce1ef,b1fe863ecd319146,data/evaluation/seaspoof_hi/ss_hi_fake_00010.flac
ss_hi_fake_00011,fake,Hindi,SEA-Spoof,heygen,evaluation,online,4.0,flac,1642f22b5e7343893f9cf813aa45f61b696bac6909624f5d1a703a907b0d1eab,61f8e3e79ba83fd5,data/evaluation/seaspoof_hi/ss_hi_fake_00011.flac
ss_hi_fake_00012,fake,Hindi,SEA-Spoof,minimax,evaluation,online,4.0,flac,990211cd8415a0728a966ab3f917812bb7ec497c8f8482aebb2abdd16cf1df97,a03452bb9bc6d266,data/evaluation/seaspoof_hi/ss_hi_fake_00012.flac
ss_hi_fake_00013,fake,Hindi,SEA-Spoof,chatgpt_tts_flac,evaluation,online,5.664,flac,c04b78846c50e1227662722d0aa42d2059eb29d7437422108cd386ca6ac09065,983c3774f06f32ec,data/evaluation/seaspoof_hi/ss_hi_fake_00013.flac
ss_hi_fake_00014,fake,Hindi,SEA-Spoof,hindi_common_edge_tts,evaluation,offline,3.6,flac,747ce11e346928ad78bad638b7c8be158e706c2964cc96a6fde67eb3da8aa5ec,98fbb73064227c38,data/evaluation/seaspoof_hi/ss_hi_fake_00014.flac
ss_hi_fake_00015,fake,Hindi,SEA-Spoof,hindi_common_fastspeech,evaluation,offline,3.4946,flac,dcc27c697197e95a24e4fb9d332f3a125b7439dc5753e1e2dc0ca24af7136c77,dcdfcf89847a7280,data/evaluation/seaspoof_hi/ss_hi_fake_00015.flac
ss_hi_fake_00016,fake,Hindi,SEA-Spoof,hindi_common_indic-tts,evaluation,offline,2.0093,flac,49423ff5646aa1fa77eb289d1e0fed0e04d7e6591072018c1930e30fb85da492,2ceab17883651f47,data/evaluation/seaspoof_hi/ss_hi_fake_00016.flac
ss_hi_fake_00017,fake,Hindi,SEA-Spoof,hindi_common_vits_mms,evaluation,offline,4.56,flac,7d54c32e993afcbd9d399343d5f87242c8c01239b501b97ac539488391e6155e,66b7161106244fe4,data/evaluation/seaspoof_hi/ss_hi_fake_00017.flac
ss_hi_fake_00018,fake,Hindi,SEA-Spoof,hindi_common_xttsv2,evaluation,offline,5.75,flac,30697a35d00439c0ee3b69fb4003f861dfbbc0f4f06e4ec1b4c4e0206d5958c0,c12715660590fffc,data/evaluation/seaspoof_hi/ss_hi_fake_00018.flac
ss_hi_fake_00019,fake,Hindi,SEA-Spoof,hindi_indic_edge_tts,evaluation,offline,11.736,flac,5f8215f8a1a9168ee4bfcdb176bad7ab5ef438c14618c88dd031898145aa8c9f,591009561b296cee,data/evaluation/seaspoof_hi/ss_hi_fake_00019.flac
